	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
I-KO-1	0.0	0.05201342281879195	0.18036912751677853	0.007550335570469799	1.0	0.04697986577181208	0.07634228187919463	0.4337248322147651	0.4446308724832215	0.9991610738255033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
I-KO-2	0.05201342281879195	0.0	0.14681208053691275	0.04697986577181208	1.0	0.044463087248322146	0.04614093959731544	0.4337248322147651	0.44211409395973156	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9991610738255033	1.0	1.0	1.0	1.0
I-KO-3	0.18036912751677853	0.14681208053691275	0.0	0.17785234899328858	0.9991610738255033	0.1686241610738255	0.16191275167785235	0.4337248322147651	0.3389261744966443	0.99748322147651	0.9991610738255033	0.99748322147651	0.9991610738255033	0.9991610738255033	0.99748322147651	0.99748322147651	0.99748322147651	0.9991610738255033	0.9991610738255033	0.9991610738255033	0.99748322147651	0.99748322147651	0.99748322147651	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	0.9991610738255033	0.99748322147651	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	1.0	0.9991610738255033	1.0	0.9983221476510067	0.9991610738255033	1.0	0.9991610738255033	0.9991610738255033
I-KO-4	0.007550335570469799	0.04697986577181208	0.17785234899328858	0.0	1.0	0.04194630872483222	0.07130872483221476	0.4337248322147651	0.44546979865771813	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
I-KO-BAC	1.0	1.0	0.9991610738255033	1.0	0.0	0.9890939597315436	0.9991610738255033	1.0	0.9966442953020134	0.42449664429530204	0.8590604026845637	0.8833892617449665	0.8917785234899329	0.5218120805369127	0.9354026845637584	0.9370805369127517	0.9001677852348994	0.7592281879194631	0.8548657718120806	0.9286912751677853	0.87248322147651	0.8213087248322147	0.8028523489932886	0.5260067114093959	0.9177852348993288	0.8624161073825504	0.9890939597315436	0.46812080536912754	0.8783557046979866	0.8808724832214765	0.8615771812080537	0.4974832214765101	0.9144295302013423	0.9169463087248322	0.8766778523489933	0.915268456375839	0.5511744966442953	0.8808724832214765	0.8817114093959731	0.9387583892617449	0.5620805369127517
I-WT-1	0.04697986577181208	0.044463087248322146	0.1686241610738255	0.04194630872483222	0.9890939597315436	0.0	0.06459731543624161	0.4337248322147651	0.4354026845637584	0.9966442953020134	1.0	1.0	1.0	1.0	0.9681208053691275	0.9681208053691275	0.9681208053691275	0.9681208053691275	0.9681208053691275	0.9681208053691275	0.9991610738255033	1.0	1.0	0.9991610738255033	0.9681208053691275	0.9672818791946308	0.9681208053691275	0.9991610738255033	0.9681208053691275	0.9681208053691275	0.9681208053691275	0.9991610738255033	0.9681208053691275	0.9681208053691275	0.9790268456375839	0.9681208053691275	0.9991610738255033	0.9681208053691275	0.9706375838926175	0.9681208053691275	0.9991610738255033
I-WT-2	0.07634228187919463	0.04614093959731544	0.16191275167785235	0.07130872483221476	0.9991610738255033	0.06459731543624161	0.0	0.4337248322147651	0.44043624161073824	0.9991610738255033	1.0	1.0	1.0	1.0	0.9991610738255033	0.9991610738255033	0.9991610738255033	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	1.0	1.0	1.0	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	0.9991610738255033	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0	0.9991610738255033	0.9991610738255033	0.9991610738255033	1.0
I-WT-3	0.4337248322147651	0.4337248322147651	0.4337248322147651	0.4337248322147651	1.0	0.4337248322147651	0.4337248322147651	0.0	0.4228187919463087	1.0	0.5989932885906041	0.6703020134228188	0.7273489932885906	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9907718120805369	0.785234899328859	0.9454697986577181	1.0	0.8171140939597316	0.9370805369127517	0.8993288590604027	1.0	1.0	1.0	1.0	1.0	0.99748322147651	1.0	1.0	0.962248322147651	1.0	0.9949664429530202	1.0	1.0	1.0
I-WT-4	0.4446308724832215	0.44211409395973156	0.3389261744966443	0.44546979865771813	0.9966442953020134	0.4354026845637584	0.44043624161073824	0.4228187919463087	0.0	0.99748322147651	0.9723154362416108	0.9723154362416108	0.9765100671140939	1.0	0.9966442953020134	0.9966442953020134	0.9966442953020134	0.9966442953020134	0.9966442953020134	0.9966442953020134	0.9907718120805369	0.9723154362416108	0.9723154362416108	1.0	0.9689597315436241	0.9689597315436241	0.9689597315436241	1.0	0.9966442953020134	0.9966442953020134	0.9966442953020134	1.0	0.9941275167785235	0.9966442953020134	0.9966442953020134	0.9689597315436241	0.9991610738255033	0.9916107382550335	0.9966442953020134	0.9966442953020134	1.0
I-WT-BAC	0.9991610738255033	1.0	0.99748322147651	1.0	0.42449664429530204	0.9966442953020134	0.9991610738255033	1.0	0.99748322147651	0.0	0.8523489932885906	0.8708053691275168	0.875	0.6761744966442953	0.9496644295302014	0.9203020134228188	0.9496644295302014	0.8875838926174496	0.8909395973154363	0.947986577181208	0.9421140939597316	0.8791946308724832	0.8598993288590604	0.6895973154362416	0.8976510067114094	0.9161073825503355	0.9966442953020134	0.5838926174496645	0.9119127516778524	0.9177852348993288	0.9186241610738255	0.665268456375839	0.9404362416107382	0.9337248322147651	0.9161073825503355	0.8959731543624161	0.6669463087248322	0.8993288590604027	0.9169463087248322	0.9454697986577181	0.6560402684563759
