SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
I-KO-1	-0.644013563	-0.002299501	0.090015348	0.035924289	-0.001687051	-0.006145289	0.010048577	-0.035434373	0.01085991	-0.065213373	0.036876078	0.015715472	0.011229599	0.003065518	0.002028324	-0.001968865	0.00463871	0.002268365	-4.04E-05	-0.028528332	-0.023739106	-0.007733704	0.015276211	0.0024728
I-KO-2	-0.645159691	-0.002318773	0.090421101	0.036124898	-0.001741367	-0.006258059	0.010245923	-0.035666225	0.010296059	-0.06181557	0.035810699	0.01459008	0.010042665	0.000571463	0.00173153	0.000387496	0.003833579	-0.001066672	0.000162078	0.011166731	0.008069989	0.008542374	0.003512974	0.000369444
I-KO-3	-0.640708172	-0.004682142	0.086865307	0.035171997	-0.003873688	-0.008388647	0.010574857	-0.022121122	-0.006925016	0.045025441	-0.00957793	-0.013542699	-0.011604951	-0.027950502	-0.003715035	0.019393445	-0.00464317	-0.017907713	0.001211485	0.081609134	0.026164141	0.004334197	0.01521093	-5.17E-05
I-KO-4	-0.644163146	-0.00229675	0.090090135	0.035973347	-0.00168117	-0.006167166	0.010066001	-0.03563753	0.011022663	-0.066129215	0.037285286	0.015931243	0.011388324	0.003139244	0.002112472	-0.001940052	0.004587741	0.002079076	-1.24E-05	-0.025068054	-0.020100658	-0.005911656	0.012890131	-0.002807816
I-WT-1	-0.613184089	0.01683036	0.126955338	0.03285387	0.006849501	-0.004887334	-0.018006551	-0.030650604	0.008234368	-0.070173556	0.001759358	0.004553488	-0.010421847	0.00319039	0.022577759	-0.020392341	-0.016488102	0.014002669	-0.006808297	-0.023908528	0.018118026	-0.004761519	0.002956023	-3.00E-05
I-WT-2	-0.643406763	-0.001726993	0.090961347	0.035843294	-0.001553214	-0.006058281	0.009455189	-0.034925279	0.010133465	-0.059512486	0.033836373	0.013904332	0.009122851	0.001087384	0.001976689	-0.000759156	0.003548569	5.84E-05	0.00059106	0.002397002	0.005324069	0.012426696	-0.044573111	4.24E-05
I-WT-3	-0.526459828	-0.127320995	-0.245452417	-0.21395685	0.038588236	0.052073846	-0.057965176	0.104543616	0.027631149	-0.004205636	-0.089622712	0.014833883	-0.002458574	0.066593186	-0.01655248	0.00971457	0.006094934	-0.003133154	0.001565599	0.001244351	-0.004592376	-0.005080707	-0.001586766	-5.07E-07
I-WT-4	-0.563596684	-0.014307316	0.034638662	-0.014596529	-0.014112409	0.002158941	0.002646685	0.069647136	-0.075544749	0.306188797	-0.100556401	-0.056931572	-0.044356634	-0.047012109	-0.003859424	0.006907129	-0.004079926	0.001550134	-0.003260009	-0.023417529	-0.010469776	-0.001334968	-0.004141305	5.15E-06
II-KO-1	0.108758544	-0.20847618	-0.454145576	-0.182350744	0.09808469	0.186283725	-0.005909694	-0.062503286	0.01414027	-0.01366383	-0.034480728	-0.000613969	-0.041592798	0.117963061	0.007756564	0.033677199	-0.001369615	-0.000639838	-0.013335881	0.004828362	-0.002933659	-0.000318899	-0.000285662	8.95E-07
II-KO-2	0.102078289	-0.228934168	-0.479649868	-0.072907456	-0.026567859	-0.156931334	-0.009918679	0.025056598	0.088343761	-0.031275713	-0.109448419	0.039117841	0.057102954	-0.01649919	0.007370883	-0.012610006	0.057785886	-0.021057771	-0.016888669	-0.007290835	0.011692388	0.008387797	0.003160346	-2.41E-06
II-KO-3	0.078223572	-0.184430117	-0.409189382	-0.169434423	0.212882388	0.218393064	-0.086680648	-0.08213343	-0.065786021	-0.002811587	0.110842777	-0.0376681	0.058104184	-0.136774346	-0.062077857	-0.029394439	-0.015770863	0.009518659	0.031225217	0.00896506	-0.00737097	-0.008600845	-0.00194289	-1.56E-06
II-KO-IL17-1	0.267373887	-0.230378399	0.177703266	0.070781257	0.192926261	-0.128959729	-0.152184996	-0.114746339	-0.012592652	0.046437022	0.043155624	-0.014550087	0.03874972	0.021566571	0.03874076	-0.004731085	0.055909903	-0.072703543	-0.029968021	-0.003793667	0.012055486	-0.029387025	-0.004164828	8.92E-06
II-KO-IL17-2	0.24325337	-0.256935188	0.117776656	0.300751038	0.097244334	0.057843574	0.028463901	-0.011917946	0.032155396	-0.014240832	-0.159158774	0.004538213	0.103312591	0.009955418	0.074424403	-0.03956072	-0.064086667	0.026012366	0.03872681	0.009406131	-0.003492253	-0.016961849	-0.003411629	7.33E-06
II-KO-IL17-3	0.253889858	-0.24487982	0.081593103	0.097395022	0.104459392	-0.29864309	-0.162906891	-0.126213138	-0.010615932	0.01620938	0.049801545	-0.027056142	-0.073788503	-0.007339149	0.007021211	-0.003677414	-0.034542231	0.018578142	0.022411859	0.001132768	-0.008221114	0.013879415	0.001584428	-4.59E-06
II-KO-IL17-4	0.28774672	-0.183435406	0.065301515	0.190598921	0.050933108	0.115806748	0.068339108	-0.127816713	-0.058865658	-0.059582765	-0.080577138	-0.056862397	-0.102575498	-0.017968793	-0.088914564	0.019501641	0.008896742	0.050079055	-0.025072053	-0.024644174	0.032171154	-0.003335314	0.002252475	8.46E-06
II-KO-IL17-5	0.265816798	-0.144429118	0.139983446	0.227587606	0.128161284	0.134241096	0.092415243	0.168197774	0.019147468	-0.054282329	-0.045610138	0.077701475	-0.081149841	-0.090470492	0.026009555	-0.073510504	0.006199247	-0.045868143	-0.014951628	-0.000288928	-0.005797986	0.016178872	0.002235472	-3.62E-06
II-KO-IL17-6	0.29234015	-0.19575639	0.268053273	0.021315696	0.178340064	0.045443349	-0.051885681	-0.109774443	0.033431329	0.055253783	-0.001702942	0.011691014	0.05948241	0.067204071	-0.022910527	0.029797531	0.031942984	0.040608653	-0.001053345	0.004655788	-0.016477096	0.033440044	0.004350015	-1.25E-05
II-WT-1	0.147005728	-0.322103741	-0.020607167	0.411111423	0.02298844	-0.050611306	0.133932096	0.236403314	0.060477256	0.050450795	0.108295813	0.03794386	0.053766145	0.027410451	-0.088122632	0.057894303	0.019273448	0.008812361	0.001134535	0.006042248	-0.006545775	-0.006298322	-0.001561656	-3.98E-06
II-WT-2	0.115427039	-0.229095764	-0.406532996	-0.003081494	-0.175218914	-0.305551975	0.032914843	0.050374032	0.005026481	-0.019464221	0.033440961	0.022066983	-0.089512672	-0.011676837	-0.006863853	-0.013420276	-0.048185988	0.022809013	0.006704206	0.003472385	-0.001055146	-0.007700198	-0.001637483	4.32E-06
II-WT-3	0.161169366	-0.183838956	-0.248897103	0.099648986	-0.311696046	0.042618612	0.232850614	-0.137191915	-0.155855471	0.025842229	0.063109572	-0.051285418	0.057239678	-0.013407513	0.085102428	0.004075837	0.018049403	-0.031716754	-0.008057713	-0.009898737	-0.001583562	0.015724765	0.002128673	-5.33E-06
IIIA-KO-1	0.241190002	-0.146091314	0.066353648	-0.393365664	0.053739474	0.039863447	-0.004762996	0.110931586	0.016895643	-0.039724211	0.004806893	0.036136907	-0.037708147	-0.024747454	0.057849099	0.067108886	-0.040791926	-0.015409767	-0.002230098	0.003370332	-0.009575576	0.004170873	-0.000428305	-2.40E-06
IIIA-KO-2	0.214976458	-0.098535076	0.081681048	0.090646116	-0.23385615	0.186486691	-0.322584271	0.163483223	-0.012904807	0.024771862	0.084635699	-0.013452447	-0.026677794	0.031285212	0.064117724	-0.020364403	-0.014832274	0.002267227	-0.007065019	-0.011365582	0.014834248	0.008902342	0.003077561	2.99E-06
IIIA-KO-3	0.166831378	-0.028841578	0.230407538	-0.432577306	0.017370473	-0.103363752	0.101227537	0.169445908	0.041058376	-0.006634991	0.030125546	-0.141397612	0.060935376	0.022293926	-0.027456744	-0.093675987	0.030613643	0.026773077	0.011878598	-0.007837926	0.015814457	0.004952732	0.002714998	1.96E-06
IIIA-WT-1	0.263981527	-0.001018658	0.246711168	-0.153275016	-0.326441809	-0.024704366	-0.007592629	-0.059463848	0.050203337	-0.01874937	-0.057100605	0.003777783	0.082929614	-0.053580902	0.013976846	0.063157237	-0.033599363	0.026845002	-0.005700664	-2.25E-06	0.004417245	-0.004074936	-9.14E-05	2.42E-06
IIIA-WT-2	0.271199575	-0.112986744	0.34262502	-0.171105021	-0.02121353	0.095913111	0.178381302	0.016125291	-0.000601089	-0.003081829	0.068368047	-0.036877434	-0.065690392	0.053051584	0.001561307	0.030582074	-0.022517453	-0.02317256	0.002837269	0.007941244	-0.002146388	-0.019819824	-0.003370487	2.61E-06
IIIA-WT-3	0.236219497	0.029457149	0.186751916	-0.032752914	-0.397441017	0.037815618	-0.112418053	-0.062845068	-0.037735026	-0.046396315	-0.080822092	0.016632705	-0.035318408	0.004656578	-0.104973701	-0.042249631	0.052784097	-0.027100427	0.015985879	0.023441488	-0.028475071	-0.00689192	-0.003902313	-5.13E-06
IIIB-KO-1	0.149461708	0.517369162	-0.118743323	0.102736865	0.081435202	-0.050330559	-0.017032248	0.047831192	-0.095484384	-0.030823397	-0.000904739	-0.063401985	0.040664921	0.030174485	-0.00575121	-0.039965781	-0.049141831	0.027157534	-0.085279373	0.025551379	-0.021701758	-0.002564075	-0.002188418	-2.16E-06
IIIB-KO-2	0.159678908	0.49782921	-0.08443781	0.105146429	0.091139991	-0.022536979	-0.008667732	0.085859337	-0.037967387	-0.057017093	-0.014469062	-0.06080422	-0.05706516	-0.041157819	0.101385601	0.054631001	0.102857842	0.054367847	0.030854763	0.012395632	-0.008488762	-0.008838127	-0.002100055	-5.05E-07
