	pielou_evenness
I-KO-1	0.48292058036322666
I-KO-2	0.3104874017762473
I-KO-3	0.424658104959219
I-KO-4	0.4241337832729222
I-KO-BAC	0.9015297872330097
I-WT-1	0.39954664070495494
I-WT-2	0.4503290361720421
I-WT-3	0.9754970366705155
I-WT-4	0.6252406051865452
I-WT-BAC	0.8467403892348226
II-KO-1	0.7802622416673725
II-KO-2	0.8163035413653525
II-KO-3	0.6637746126280123
II-KO-BAC	0.869735433913202
II-KO-IL17-1	0.8621473263255427
II-KO-IL17-2	0.8620258010091661
II-KO-IL17-3	0.8403714573979026
II-KO-IL17-4	0.9050198836419252
II-KO-IL17-5	0.8693840034346771
II-KO-IL17-6	0.8609428614582063
II-WT-1	0.8275212049235131
II-WT-2	0.7557981853820354
II-WT-3	0.8104533594134127
II-WT-BAC	0.8174083207407752
IIIA-KO-1	0.8064793039106474
IIIA-KO-2	0.8387945356913697
IIIA-KO-3	0.7435690570760801
IIIA-KO-BAC	0.830654243092125
IIIA-WT-1	0.8161811859885532
IIIA-WT-2	0.7862865164092182
IIIA-WT-3	0.7580990040705664
IIIA-WT-BAC	0.8392091086608352
IIIB-KO-1	0.8373198693254563
IIIB-KO-2	0.8269573415381776
IIIB-KO-3	0.8650961001107311
IIIB-KO-4	0.8172358431852982
IIIB-KO-BAC	0.8363973911938767
IIIB-WT-1	0.8123769815289205
IIIB-WT-2	0.8207306232646888
IIIB-WT-3	0.8633767644037283
IIIB-WT-BAC	0.7435334286159082
