	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
I-KO-1	0.0	0.875	0.875	0.7142857142857143	1.0	0.8181818181818182	0.7142857142857143	0.6666666666666666	0.84	0.9904761904761905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
I-KO-2	0.875	0.0	0.6470588235294118	0.7333333333333333	1.0	0.7894736842105263	0.7333333333333333	0.875	0.8181818181818182	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9895833333333334	1.0	1.0	1.0	1.0
I-KO-3	0.875	0.6470588235294118	0.0	0.8787878787878788	0.9911504424778761	0.8918918918918919	0.8787878787878788	0.9411764705882353	0.7608695652173914	0.9848484848484849	0.9833333333333333	0.9636363636363636	0.9821428571428571	0.9880952380952381	0.9705882352941176	0.972972972972973	0.9701492537313433	0.9861111111111112	0.9848484848484849	0.9859154929577465	0.972972972972973	0.9710144927536232	0.9726027397260274	0.992	0.9836065573770492	0.9888888888888889	1.0	0.991869918699187	0.9661016949152542	0.9833333333333333	0.9859154929577465	0.991869918699187	1.0	1.0	0.9895833333333334	1.0	0.9823008849557522	0.9861111111111112	1.0	0.9866666666666667	0.9911504424778761
I-KO-4	0.7142857142857143	0.7333333333333333	0.8787878787878788	0.0	1.0	0.6	0.3333333333333333	0.7142857142857143	0.8461538461538461	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
I-KO-BAC	1.0	1.0	0.9911504424778761	1.0	0.0	0.9659090909090909	0.9883720930232558	1.0	0.9905660377358491	0.5040650406504065	0.89	0.8736842105263158	0.93	0.65	0.9285714285714286	0.8849557522123894	0.9279279279279279	0.8173076923076923	0.8415841584158416	0.8909090909090909	0.822429906542056	0.8691588785046729	0.8425925925925926	0.6141732283464567	0.8686868686868687	0.8442622950819673	0.9662921348314607	0.5967741935483871	0.8787878787878788	0.8556701030927835	0.8598130841121495	0.608	0.959349593495935	0.9590163934426229	0.9424460431654677	0.9065420560747663	0.48623853211009177	0.9304347826086956	0.8805970149253731	0.9586776859504132	0.5225225225225225
I-WT-1	0.8181818181818182	0.7894736842105263	0.8918918918918919	0.6	0.9659090909090909	0.0	0.4444444444444444	0.8181818181818182	0.8275862068965517	0.9722222222222222	1.0	1.0	1.0	1.0	0.9069767441860465	0.9183673469387755	0.9047619047619048	0.9130434782608695	0.9	0.9111111111111111	0.9807692307692307	1.0	1.0	0.9901960784313726	0.8857142857142857	0.9206349206349206	0.7333333333333333	0.99	0.8823529411764706	0.8823529411764706	0.9111111111111111	0.99	0.9215686274509803	0.92	0.9428571428571428	0.9	0.989010989010989	0.9130434782608695	0.9452054794520548	0.9183673469387755	0.9888888888888889
I-WT-2	0.7142857142857143	0.7333333333333333	0.8787878787878788	0.3333333333333333	0.9883720930232558	0.4444444444444444	0.0	0.7142857142857143	0.8	0.9905660377358491	1.0	1.0	1.0	1.0	0.9761904761904762	0.9791666666666666	0.975609756097561	0.9777777777777777	0.9743589743589743	0.9772727272727273	1.0	1.0	1.0	1.0	0.9705882352941176	0.9841269841269841	0.9285714285714286	1.0	0.9696969696969697	0.9696969696969697	0.9772727272727273	1.0	0.98	0.9795918367346939	0.9855072463768116	0.9743589743589743	1.0	0.9777777777777777	0.9861111111111112	0.9791666666666666	1.0
I-WT-3	0.6666666666666666	0.875	0.9411764705882353	0.7142857142857143	1.0	0.8181818181818182	0.7142857142857143	0.0	0.84	1.0	0.9354838709677419	0.9259259259259259	0.9259259259259259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9565217391304348	0.9512195121951219	0.9555555555555556	1.0	0.9375	0.9672131147540983	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	0.9795918367346939	1.0	1.0	0.9459459459459459	1.0	0.9534883720930233	1.0	1.0	1.0
I-WT-4	0.84	0.8181818181818182	0.7608695652173914	0.8461538461538461	0.9905660377358491	0.8275862068965517	0.8	0.84	0.0	0.984	0.9615384615384616	0.9583333333333334	0.9583333333333334	1.0	0.9838709677419355	0.9852941176470589	0.9836065573770492	0.9846153846153847	0.9830508474576272	0.984375	0.9701492537313433	0.967741935483871	0.9696969696969697	1.0	0.9423076923076923	0.9629629629629629	0.90625	1.0	0.9811320754716981	0.9811320754716981	0.984375	1.0	0.9710144927536232	0.9855072463768116	0.9887640449438202	0.9473684210526315	0.9906542056074766	0.9523809523809523	0.9891304347826086	0.9852941176470589	1.0
I-WT-BAC	0.9904761904761905	1.0	0.9848484848484849	1.0	0.5040650406504065	0.9722222222222222	0.9905660377358491	1.0	0.984	0.0	0.8706896551724138	0.8956521739130435	0.8956521739130435	0.71900826446281	0.9473684210526315	0.9185185185185185	0.946969696969697	0.9	0.8861788617886179	0.9323308270676691	0.8939393939393939	0.8629032258064516	0.8492063492063492	0.6197183098591549	0.8521739130434782	0.8819444444444444	0.9724770642201835	0.6142857142857143	0.8803418803418803	0.8803418803418803	0.9076923076923077	0.6142857142857143	0.9577464788732394	0.9574468085106383	0.9430379746835443	0.8770491803278688	0.5769230769230769	0.9328358208955224	0.9171974522292994	0.9496402877697842	0.6060606060606061
II-KO-1	1.0	1.0	0.9833333333333333	1.0	0.89	1.0	1.0	0.9354838709677419	0.9615384615384616	0.8706896551724138	0.0	0.6153846153846154	0.3125	0.8918918918918919	0.8035714285714286	0.8225806451612904	0.8	0.7719298245614035	0.7450980392156863	0.8103448275862069	0.8225806451612904	0.5217391304347826	0.5882352941176471	0.911504424778761	0.5609756097560976	0.7945205479452054	0.8529411764705882	0.9196428571428571	0.7916666666666666	0.7111111111111111	0.85	0.9099099099099099	0.8636363636363636	0.8955223880597015	0.9069767441860465	0.72	0.8085106382978723	0.8524590163934426	0.9222222222222223	0.859375	0.900990099009901
II-KO-2	1.0	1.0	0.9636363636363636	1.0	0.8736842105263158	1.0	1.0	0.9259259259259259	0.9583333333333334	0.8956521739130435	0.6153846153846154	0.0	0.6842105263157895	0.8529411764705882	0.7647058823529411	0.7222222222222222	0.7843137254901961	0.68	0.6666666666666666	0.8181818181818182	0.5625	0.47619047619047616	0.5833333333333334	0.8981481481481481	0.6585365853658537	0.782608695652174	0.8709677419354839	0.8857142857142857	0.65	0.8260869565217391	0.7735849056603774	0.875	0.890625	0.8888888888888888	0.9285714285714286	0.8461538461538461	0.8631578947368421	0.8620689655172413	0.8658536585365854	0.8688524590163934	0.8969072164948454
II-KO-3	1.0	1.0	0.9821428571428571	1.0	0.93	1.0	1.0	0.9259259259259259	0.9583333333333334	0.8956521739130435	0.3125	0.6842105263157895	0.0	0.9315068493150684	0.7884615384615384	0.8103448275862069	0.7843137254901961	0.7547169811320755	0.75	0.8181818181818182	0.85	0.5777777777777777	0.5833333333333334	0.9469026548672567	0.5526315789473685	0.782608695652174	0.8333333333333334	0.9363636363636364	0.8260869565217391	0.7441860465116279	0.8983050847457628	0.9459459459459459	0.873015873015873	0.8888888888888888	0.9156626506024096	0.6956521739130435	0.8387096774193549	0.8421052631578947	0.9186046511627907	0.8688524590163934	0.9081632653061225
II-KO-BAC	1.0	1.0	0.9880952380952381	1.0	0.65	1.0	1.0	1.0	1.0	0.71900826446281	0.8918918918918919	0.8529411764705882	0.9315068493150684	0.0	0.9418604651162791	0.8977272727272727	0.9285714285714286	0.825	0.8421052631578947	0.9431818181818182	0.8588235294117647	0.8780487804878049	0.8433734939759037	0.6636363636363637	0.8783783783783784	0.88	1.0	0.5784313725490197	0.8767123287671232	0.9066666666666666	0.8928571428571429	0.6190476190476191	0.96875	0.968421052631579	0.9557522123893806	0.926829268292683	0.5684210526315789	0.9438202247191011	0.9099099099099099	0.956989247311828	0.6893203883495146
II-KO-IL17-1	1.0	1.0	0.9705882352941176	1.0	0.9285714285714286	0.9069767441860465	0.9761904761904762	1.0	0.9838709677419355	0.9473684210526315	0.8035714285714286	0.7647058823529411	0.7884615384615384	0.9418604651162791	0.0	0.32653061224489793	0.17073170731707318	0.4807692307692308	0.5102040816326531	0.44	0.6774193548387096	0.6949152542372882	0.7142857142857143	0.944	0.7169811320754716	0.6891891891891891	0.8292682926829268	0.9256198347107438	0.7115384615384616	0.6326530612244898	0.835820895522388	0.943089430894309	0.8493150684931506	0.863013698630137	0.8924731182795699	0.8939393939393939	0.9099099099099099	0.855072463768116	0.9072164948453608	0.8450704225352113	0.9565217391304348
II-KO-IL17-2	1.0	1.0	0.972972972972973	1.0	0.8849557522123894	0.9183673469387755	0.9791666666666666	1.0	0.9852941176470589	0.9185185185185185	0.8225806451612904	0.7222222222222222	0.8103448275862069	0.8977272727272727	0.32653061224489793	0.0	0.3125	0.36538461538461536	0.5094339622641509	0.5	0.625	0.6612903225806451	0.5967741935483871	0.896	0.7017543859649122	0.6794871794871795	0.851063829787234	0.8852459016393442	0.6226415094339622	0.6727272727272727	0.746268656716418	0.8943089430894309	0.8311688311688312	0.8289473684210527	0.8645833333333334	0.8714285714285714	0.8660714285714286	0.8356164383561644	0.8333333333333334	0.8266666666666667	0.9137931034482759
II-KO-IL17-3	1.0	1.0	0.9701492537313433	1.0	0.9279279279279279	0.9047619047619048	0.975609756097561	1.0	0.9836065573770492	0.946969696969697	0.8	0.7843137254901961	0.7843137254901961	0.9285714285714286	0.17073170731707318	0.3125	0.0	0.5	0.5	0.3958333333333333	0.6721311475409836	0.6896551724137931	0.7096774193548387	0.9435483870967742	0.7115384615384616	0.684931506849315	0.825	0.9159663865546218	0.7307692307692307	0.625	0.8507462686567164	0.9426229508196722	0.8309859154929577	0.8611111111111112	0.8913043478260869	0.8923076923076924	0.9090909090909091	0.8529411764705882	0.90625	0.8428571428571429	0.9469026548672567
II-KO-IL17-4	1.0	1.0	0.9861111111111112	1.0	0.8173076923076923	0.9130434782608695	0.9777777777777777	1.0	0.9846153846153847	0.9	0.7719298245614035	0.68	0.7547169811320755	0.825	0.4807692307692308	0.36538461538461536	0.5	0.0	0.4489795918367347	0.5535714285714286	0.7313432835820896	0.7096774193548387	0.5517241379310345	0.8260869565217391	0.660377358490566	0.6666666666666666	0.8409090909090909	0.8125	0.5714285714285714	0.6538461538461539	0.6721311475409836	0.8230088495575221	0.84	0.8378378378378378	0.8723404255319149	0.8307692307692308	0.7843137254901961	0.8285714285714286	0.8152173913043478	0.8194444444444444	0.839622641509434
II-KO-IL17-5	1.0	1.0	0.9848484848484849	1.0	0.8415841584158416	0.9	0.9743589743589743	1.0	0.9830508474576272	0.8861788617886179	0.7450980392156863	0.6666666666666666	0.75	0.8421052631578947	0.5102040816326531	0.5094339622641509	0.5	0.4489795918367347	0.0	0.5	0.6610169491525424	0.7666666666666667	0.6779661016949152	0.8782608695652174	0.6170212765957447	0.6944444444444444	0.8157894736842105	0.8660714285714286	0.72	0.6382978723404256	0.7903225806451613	0.8761061946902655	0.8260869565217391	0.7878787878787878	0.8636363636363636	0.8333333333333334	0.82	0.7936507936507936	0.8426966292134831	0.8208955223880597	0.8857142857142857
II-KO-IL17-6	1.0	1.0	0.9859154929577465	1.0	0.8909090909090909	0.9111111111111111	0.9772727272727273	1.0	0.984375	0.9323308270676691	0.8103448275862069	0.8181818181818182	0.8181818181818182	0.9431818181818182	0.44	0.5	0.3958333333333333	0.5535714285714286	0.5	0.0	0.6875	0.803030303030303	0.7611940298507462	0.928	0.7272727272727273	0.6621621621621622	0.8372093023255814	0.9180327868852459	0.7678571428571429	0.5918367346938775	0.8059701492537313	0.926829268292683	0.821917808219178	0.8666666666666667	0.8586956521739131	0.8970588235294118	0.8918918918918919	0.8591549295774648	0.851063829787234	0.8493150684931506	0.9391304347826087
II-WT-1	1.0	1.0	0.972972972972973	1.0	0.822429906542056	0.9807692307692307	1.0	0.9565217391304348	0.9701492537313433	0.8939393939393939	0.8225806451612904	0.5625	0.85	0.8588235294117647	0.6774193548387096	0.625	0.6721311475409836	0.7313432835820896	0.6610169491525424	0.6875	0.0	0.639344262295082	0.6190476190476191	0.8688524590163934	0.7868852459016393	0.7125	0.92	0.847457627118644	0.8032786885245902	0.8032786885245902	0.8493150684931506	0.8666666666666667	0.9156626506024096	0.9404761904761905	0.9619047619047619	0.9466666666666667	0.8348623853211009	0.9375	0.8910891089108911	0.9397590361445783	0.8648648648648649
II-WT-2	1.0	1.0	0.9710144927536232	1.0	0.8691588785046729	1.0	1.0	0.9512195121951219	0.967741935483871	0.8629032258064516	0.5217391304347826	0.47619047619047616	0.5777777777777777	0.8780487804878049	0.6949152542372882	0.6612903225806451	0.6896551724137931	0.7096774193548387	0.7666666666666667	0.803030303030303	0.639344262295082	0.0	0.5357142857142857	0.8916666666666667	0.6470588235294118	0.775	0.8863636363636364	0.8991596638655462	0.64	0.7407407407407407	0.765625	0.8898305084745762	0.8513513513513513	0.9090909090909091	0.9166666666666666	0.7666666666666667	0.803921568627451	0.8732394366197183	0.8854166666666666	0.8783783783783784	0.8691588785046729
