SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
I-KO-1	-0.487703925	-0.120972857	-0.003653739	0.025962018	0.119819279	0.215031616	0.094073532	0.346953509	-0.129883401	-0.039658727	0.109634309	-0.026426669	0.131441995	-0.126934068	-0.050401654	0.043071572	-0.155759735	0.000392694	-0.029370015	0.004885238	-0.019158863	-0.026115948	0.006018566	-0.007139024	0.003113959	-0.00121261	-0.001205385	0.002283447	-0.000757447	0.000991612	-0.002216823	-0.000384658
I-KO-2	-0.485885379	-0.120618979	0.027004371	0.233930295	-0.210114478	-0.160640709	-0.145081759	-0.078077518	0.090580343	-0.217326846	-0.009722396	-0.021096237	-0.087858665	0.139003611	-0.078045362	-0.083635423	-0.187214283	-0.039401665	-0.019447266	0.014550187	-0.001227929	-0.011166461	-0.003535091	0.000611481	-0.001272571	-0.001250845	-0.004238326	-0.001515147	0.002568459	-0.000102265	-0.000676153	0.000254842
I-KO-3	-0.379077402	-0.116278982	-0.001766971	0.36148852	-0.324772499	-0.213377862	0.033238733	0.033005429	-0.051248675	-0.117368342	0.072166743	0.002942787	0.062844493	-0.128517796	0.072315671	0.085709921	0.182206827	0.037960678	0.017807308	-0.031499375	0.002839444	0.016891422	0.005793732	-0.008128943	-0.006111764	-0.001377321	0.006399982	0.003742907	-0.002221033	0.002982611	0.00206236	-0.000783876
I-KO-4	-0.578490615	-0.148603986	0.054474778	-0.054751622	0.155005846	0.109470059	-0.234040845	-0.050222515	0.074307786	0.048980062	-0.035302808	-0.015163302	-0.033336389	-0.018381583	-0.014849382	-0.021044752	0.104732278	0.002932113	0.045172753	0.033759801	-0.092393283	-0.058836574	0.093837719	0.027581027	0.075550286	0.053820671	-0.000570281	-0.021026001	-0.008203744	-0.005416122	-0.00176233	-0.000521333
I-WT-1	-0.438219438	-0.063198123	0.164393967	-0.278067818	0.07429206	-0.133791244	-0.08289294	-0.189900965	0.00510997	0.048685075	0.024077898	0.028475264	0.063314803	-0.072967206	0.041765451	0.070006713	-0.053560162	0.018267209	-0.056283401	-0.041998315	0.092296818	0.047760063	-0.08525509	-0.014841793	-0.002704997	0.044761061	-0.011753671	-0.040668189	-0.041542275	-0.02727782	0.001647293	-0.002991447
I-WT-2	-0.575135849	-0.135900018	0.087994845	-0.135190627	0.140155191	0.044446111	-0.190029204	-0.098807104	0.040644397	0.090765033	-0.025845578	-0.008475332	-0.003201279	-0.026058674	0.00792766	0.008448811	0.037797581	0.002996401	0.007365682	-0.001569739	-3.42E-05	0.00881822	-0.01732187	-0.022359584	-0.076051236	-0.093315844	0.010544356	0.056627205	0.038749978	0.027944967	-0.000365856	0.002340656
I-WT-3	-0.444899483	-0.124275447	-0.141314703	-0.117294573	0.130341563	0.240459718	0.248644897	0.094649796	-0.035595734	-0.168330729	-0.007189768	0.010454205	-0.123378824	0.170380292	0.048083871	-0.062943653	0.128052616	-0.022643183	0.024312805	-0.024873769	0.056836322	0.05833228	-0.030730259	0.005195193	-0.015725304	0.0088989	-0.002290195	-0.013947686	-0.003524074	-0.005354524	0.00626192	6.26E-05
I-WT-4	-0.403946617	-0.094574678	-0.066295108	0.114220938	-0.204991331	-0.110157634	0.260635252	0.024404457	-0.055524715	0.412376654	-0.086007952	-0.025096207	-0.027459773	0.080697485	-0.019666859	-0.040577762	-0.033134306	-0.023966912	0.010576146	0.011714026	-0.003551406	0.002530863	0.002812403	0.007479643	0.004004388	0.00574328	-0.000242801	-0.00602209	0.000353986	-0.002087872	0.000501438	-2.14E-05
II-KO-1	0.174578094	-0.110753036	-0.417376398	-0.028609953	-0.097117006	0.093649304	-0.129993613	0.011167946	-0.031870114	-0.011356302	-0.176548667	0.03900364	0.0922892	-0.011765022	0.007439495	-0.013732492	-0.004768629	0.011482416	-0.037134701	0.012678006	0.00055316	0.015461715	-0.034299872	-0.003824433	-0.044464315	0.105806852	0.007743513	0.054022501	0.026536868	0.019476932	0.003996941	0.004771297
II-KO-2	0.195922776	-0.162206564	-0.236864083	0.202396685	0.165153327	0.066340182	0.088189768	-0.20739983	-0.007154968	-0.014131989	0.034424213	-0.069005539	0.136851339	-0.004743321	-0.031643336	-0.062839315	0.025557157	-0.104889812	0.062973679	-0.033329042	-0.006337089	-0.071481728	-0.044933859	-0.034440194	0.000988405	-0.015659329	-0.007078517	0.02465963	-0.042780643	-0.024635172	-0.041326274	0.002214781
II-KO-3	0.164623828	-0.103773822	-0.402055027	-0.07142387	-0.154125651	0.117644833	-0.11940228	0.031623436	-0.022035786	-0.018483266	-0.180726494	-0.036739479	-0.018017092	-0.044816458	0.01289315	0.055479963	-0.014812075	0.033329532	-0.030563684	-0.022363479	0.004677577	0.02539238	-0.025696761	0.085372769	0.054069736	-0.079076078	-0.038309706	-0.035828264	-0.023685268	0.008443488	-0.013938594	-0.002772258
