	observed_features
I-KO-1	4
I-KO-2	14
I-KO-3	32
I-KO-4	5
I-KO-BAC	82
I-WT-1	9
I-WT-2	5
I-WT-3	4
I-WT-4	25
I-WT-BAC	102
II-KO-1	29
II-KO-2	25
II-KO-3	25
II-KO-BAC	53
II-KO-IL17-1	38
II-KO-IL17-2	44
II-KO-IL17-3	37
II-KO-IL17-4	41
II-KO-IL17-5	35
II-KO-IL17-6	40
II-WT-1	44
II-WT-2	39
II-WT-3	43
II-WT-BAC	94
IIIA-KO-1	30
IIIA-KO-2	59
IIIA-KO-3	10
IIIA-KO-BAC	92
IIIA-WT-1	29
IIIA-WT-2	29
IIIA-WT-3	40
IIIA-WT-BAC	92
IIIB-KO-1	46
IIIB-KO-2	45
IIIB-KO-3	65
IIIB-KO-4	35
IIIB-KO-BAC	83
IIIB-WT-1	41
IIIB-WT-2	68
IIIB-WT-3	44
IIIB-WT-BAC	82
