	shannon_entropy
I-KO-1	0.9658411607264533
I-KO-2	1.182135737389672
I-KO-3	2.123290524796095
I-KO-4	0.9848081473722657
I-KO-BAC	5.731522506046136
I-WT-1	1.2665328856129254
I-WT-2	1.045631641031412
I-WT-3	1.950994073341031
I-WT-4	2.903527454494033
I-WT-BAC	5.649812031201239
II-KO-1	3.7904991412357325
II-KO-2	3.7907962533045203
II-KO-3	3.082473843467915
II-KO-BAC	4.98177538196983
II-KO-IL17-1	4.524486674465641
II-KO-IL17-2	4.706170914110585
II-KO-IL17-3	4.37787591712001
II-KO-IL17-4	4.848691091825022
II-KO-IL17-5	4.459316604021113
II-KO-IL17-6	4.581876002487147
II-WT-1	4.517795431252262
II-WT-2	3.9946974060302707
II-WT-3	4.397734499514914
II-WT-BAC	5.357775466396024
IIIA-KO-1	3.9573057119120603
IIIA-KO-2	4.93432884522753
IIIA-KO-3	2.4700829411899354
IIIA-KO-BAC	5.418824418873121
IIIA-WT-1	3.964992690113074
IIIA-WT-2	3.8197649534410463
IIIA-WT-3	4.034548388469276
IIIA-WT-BAC	5.474632614436341
IIIB-KO-1	4.62498817525672
IIIB-KO-2	4.541528236658997
IIIB-KO-3	5.209926908483308
IIIB-KO-4	4.19183393128905
IIIB-KO-BAC	5.332066349136664
IIIB-WT-1	4.352351925895856
IIIB-WT-2	4.996167171800026
IIIB-WT-3	4.713546406382479
IIIB-WT-BAC	4.7270524395976246
