sample	Unassigned	g__Corynebacterium	f__Microbacteriaceae;__	g__Curtobacterium	g__Bifidobacterium	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;__	f__Coriobacteriaceae;g__	g__Adlercreutzia	o__Bacteroidales;f__;g__	g__Bacteroides	g__Parabacteroides	g__Prevotella	f__Rikenellaceae;g__	o__Bacteroidales;f__S24-7;g__	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	g__Ammoniphilus	g__Staphylococcus	g__Enterococcus	g__Lactobacillus	g__Turicibacter	o__Clostridiales;__;__	o__Clostridiales;f__;g__	f__Lachnospiraceae;__	f__Lachnospiraceae;g__	g__Blautia	g__Coprococcus	g__[Ruminococcus]	f__Peptostreptococcaceae;g__	g__[Clostridium]	f__Ruminococcaceae;g__	g__Oscillospira	g__Ruminococcus	f__Caulobacteraceae;__	c__Alphaproteobacteria;o__RF32;f__;g__	o__Rickettsiales;f__mitochondria;__	g__Zea	g__Sphingomonas	g__Sutterella	f__Oxalobacteraceae;g__	o__Nitrosomonadales;f__;g__	g__Thauera	f__Desulfovibrionaceae;g__	g__Desulfovibrio	f__Helicobacteraceae;__	f__Enterobacteriaceae;g__	g__Proteus	g__Acinetobacter	f__Xanthomonadaceae;__	g__Akkermansia
1_KO	0.001048658	0	0	0	0	0	0	0	0	0	0	0.000209732	0.000209732	0	0	0.000419463	0	0.002097315	0.000419463	0	0	0	0.006921141	0	0.003355705	0	0	0	0	0.000209732	0.000209732	0.002516779	0.000209732	0	0.018036913	0.007760067	0.000209732	0.000209732	0.000629195	0	0	0	0	0	0	0	0.004823826	0.950503356	0
1_KO_BAC	0.044463087	0	0	0	0	0	0.002516779	0.006711409	0	0	0	0	0.010067114	0.612416107	0	0	0	0	0.054530201	0.000838926	0.000838926	0	0	0.000838926	0	0	0.002516779	0	0	0.086409396	0	0	0	0	0	0	0	0.15352349	0	0	0	0	0.014261745	0	0.010067114	0	0	0	0
1_WT	0	0.005033557	0.000209732	0.000209732	0	0	0	0	0	0	0	0	0	0.000209732	0	0.000838926	0.001468121	0.001887584	0.000419463	0	0	0	0.000629195	0	0	0	0	0	0	0	0	0	0.000419463	0	0.060612416	0.029781879	0	0	0.000838926	0	0.000419463	0	0	0	0.009018456	0.115352349	0.004823826	0.767827181	0
1_WT_BAC	0.031879195	0	0	0	0	0	0.000838926	0	0	0	0	0	0.002516779	0.547818792	0	0	0	0	0.109060403	0	0	0.014261745	0	0	0	0	0.015100671	0	0	0.183724832	0	0	0	0	0	0	0	0.065436242	0	0.000838926	0	0	0.021812081	0	0.002516779	0	0.003355705	0.000838926	0
2_KO	0.003635347	0	0	0	0	0	0	0	0	0	0	0	0.00810962	0.001677852	0	0	0	0.081096197	0.270693512	0	0	0	0.063199105	0	0	0	0	0.010346756	0.013982103	0	0	0	0	0	0	0	0	0.138702461	0	0	0	0	0	0	0	0.408557047	0	0	0
2_KO_BAC	0.046979866	0	0	0	0.001677852	0	0.005033557	0	0	0	0	0	0.001677852	0.643456376	0	0	0	0	0.097315436	0	0	0.007550336	0	0	0	0	0	0	0	0.064597315	0	0	0	0	0	0	0	0.131711409	0	0	0	0	0	0	0	0	0	0	0
2_KO_IL17	0.000629195	0	0	0.000489374	0.000489374	0	0	0	0	0	0	0.005662752	0.125209731	0.11954698	0	0	0.041317114	0.116401007	0.075083893	0	0	0.03537472	0.03537472	0.000139821	0.000139821	0.000908837	0.016149329	0.024119128	0.008878635	6.99E-05	6.99E-05	0	0	0	0	0	0.093260626	0.093260626	0	0	0.000349553	0.000349553	0	0.102558725	0.102558725	0	0	0.000489374	0.000978747
2_KO_KOIL17	0.002050708	0	0	0	0.000652498	0	0	0	0	0	0	0	0.010253542	0.159955257	0	0	0	0.082121551	0.190343028	0	0	0	0.068232662	0	0.000186428	0	0.001211782	0.023769575	0.016498881	0	0.000093214	0	0	0	0	0	0	0.170581655	0	0	0	0.00046607	0	0	0.136744966	0.136185682	0	0	0.000652498
2_WT	0.001118568	0	0	0	0	0	0.002796421	0	0	0	0	0	0.017337808	0.159116331	0	0	0	0.107102908	0.138982103	0	0	0	0.184284116	0	0	0	0	0.034955257	0.0299217	0	0.001677852	0	0	0	0	0	0	0.228187919	0	0	0	0	0	0	0	0.092841163	0	0	0.001677852
2_WT_BAC	0.055369128	0	0	0	0	0	0.006711409	0	0	0	0.001677852	0.000838926	0.001677852	0.609060403	0	0	0	0	0.081375839	0	0.002516779	0.02852349	0.005033557	0	0	0	0	0	0	0.024328859	0	0.000838926	0	0	0	0	0	0.167785235	0	0	0	0	0.006711409	0.007550336	0	0	0	0	0
3A_KO	0	0	0	0	0.003914989	0	0.000279642	0	0	0	0	0	0.000279642	0.038590604	0	0	0	0.034395973	0.086129754	0	0.007550336	0	0.004194631	0.011744966	0.09647651	0	0	0.056208054	0	0	0.000838926	0	0	0	0	0	0	0.053691275	0	0	0	0	0	0	0.490212528	0.11549217	0	0	0
3A_KO_BAC	0.046979866	0	0	0	0.000838926	0	0.001677852	0	0	0	0.000838926	0	0	0.651006711	0	0	0	0	0.045302013	0	0.002516779	0.008389262	0.001677852	0.000838926	0	0	0.001677852	0	0	0.089765101	0	0	0	0	0	0	0	0.130033557	0	0	0	0	0.016778523	0.001677852	0	0	0	0	0
3A_WT	0.000838926	0	0	0	0	0	0.000279642	0	0	0	0	0	0.002796421	0.051174497	0	0	0	0	0.133948546	0	0.001957494	0.002516779	0.009787472	0.00139821	0.203299776	0	0	0.028803132	0.055089485	0	0	0	0	0	0	0	0	0.08557047	0	0	0	0	0	0	0.42114094	0	0	0	0.00139821
3A_WT_BAC	0.073825503	0	0	0	0	0.000838926	0.007550336	0	0	0	0	0.001677852	0.000838926	0.578020134	0.000838926	0	0	0.000838926	0.088926174	0	0.009228188	0.024328859	0.003355705	0	0	0	0	0	0	0.038590604	0	0.000838926	0	0	0	0	0	0.159395973	0	0	0	0	0.005872483	0.004194631	0	0.000838926	0	0	0
3B_KO	0.002307047	0	0	0	0	0	0	0	0.002097315	0.026006711	0.395763423	0	0.000419463	0.189597315	0	0	0	0.006711409	0.028313758	0	0	0.000419463	0.001048658	0.002516779	0.040268456	0.001887584	0.003984899	0.015310403	0.011325503	0.01090604	0.008598993	0	0	0.024119128	0	0	0	0.077181208	0	0	0	0	0	0	0.140100671	0.010276846	0	0	0.000838926
3B_KO_BAC	0.015939597	0	0	0	0	0	0	0	0	0	0	0	0.005033557	0.58557047	0	0	0	0	0.181208054	0	0	0.000838926	0	0	0	0	0	0	0	0.012583893	0	0	0	0	0	0	0	0.191275168	0	0	0	0	0.006711409	0	0	0	0.000838926	0	0
3B_WT	0.003635347	0	0	0	0	0	0	0	0.005313199	0.018176734	0.275727069	0	0.000559284	0.259787472	0	0	0	0.008389262	0.034955257	0	0	0.002516779	0	0.000279642	0.054809843	0	0.001677852	0.010626398	0.002237136	0.020693512	0.006711409	0	0	0.022091723	0	0	0	0.076342282	0	0	0	0	0	0	0.193512304	0.001957494	0	0	0
3B_WT_BAC	0.004194631	0	0	0	0.000838926	0	0.003355705	0	0	0	0	0	0.002516779	0.708892617	0.000838926	0	0	0	0.035234899	0	0	0.004194631	0	0	0	0	0.003355705	0	0	0.098993289	0	0	0	0	0	0	0	0.11409396	0	0	0	0	0.020973154	0.002516779	0	0	0	0	0
