	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
I-KO-1	0.0	0.22523360079844282	0.3511776716173172	0.07738922854034173	0.5856260651184029	0.11846556627900993	0.07348432798127745	0.13296075810197824	0.30194737588214776	0.5845097610984996	0.37146911315655395	0.3894439530395928	0.31404953120788887	0.5386153390120733	0.37158001732673324	0.39512313868652144	0.4032170283467393	0.35968412108950565	0.38894997663421366	0.46228129763297554	0.4775535551527975	0.4062002794057563	0.41458127806541223	0.6354001274969762	0.35171880295533586	0.5181635375783264	0.22405402863598622	0.6091525367370516	0.3639628305041989	0.3882140607290547	0.43638598866881645	0.6284986726992502	0.512680572467022	0.48910457774471594	0.5632853429552176	0.3748599195570554	0.5559391014169714	0.43041589708580047	0.5558323132233056	0.4856145566413102	0.614611057251052
I-KO-2	0.22523360079844282	0.0	0.21961384078840718	0.1618993409409648	0.5261368267579504	0.21159523400656627	0.18066646408776083	0.31008062245216583	0.2656970323890249	0.5230996631326974	0.35506392404429304	0.35670002441968646	0.32984293560700984	0.5006237334715099	0.3649130792108798	0.36882355505071795	0.3980092940590724	0.36965839114364535	0.3765840998175401	0.4252732544523404	0.39774301201404444	0.3729691834014901	0.4084064603854081	0.5744536436191914	0.3680119101406995	0.4607951975586673	0.29941443630827286	0.5623482021352212	0.3663123264971393	0.38216568763470804	0.4013486768086565	0.564812068071859	0.44410813020218837	0.4274851502040116	0.4995065143216556	0.4166858915157642	0.4941183012321909	0.42295633648560027	0.47600869329036377	0.42818705655259204	0.5533108113966643
I-KO-3	0.3511776716173172	0.21961384078840718	0.0	0.3143472508965517	0.5211108284409993	0.34291716558026286	0.321914298748117	0.4255815853123751	0.3147384550367754	0.5132465780340377	0.36660264099216994	0.3662244345127086	0.3226072883400102	0.4897719977603941	0.346496377954152	0.35487174008281736	0.38187637611109726	0.3625830652701209	0.3924567266793137	0.4345441929468426	0.4003174243969144	0.3806666969182435	0.3864714225003914	0.5522463441010693	0.3627256527747077	0.45359617916450157	0.41575402119524585	0.5379567054694877	0.3522077124373746	0.40041573778964074	0.39861339383969324	0.5395644569617677	0.43017925121673706	0.396621532516199	0.4750292736475318	0.4190761346397218	0.500428057515571	0.407299058997545	0.46437485650557747	0.4129795186315035	0.5489736167563513
I-KO-4	0.07738922854034173	0.1618993409409648	0.3143472508965517	0.0	0.5914193726383387	0.06872339827662549	0.024907066951590298	0.18344960753392528	0.2623223958451771	0.5899342788329321	0.3872652090925367	0.404222797780882	0.33331019560715663	0.5437140608708164	0.38728813726271316	0.40958728171672865	0.41723823319981396	0.3761646272781137	0.4036797575760359	0.47321211125275603	0.48781428869687665	0.4200598784119111	0.42799163751001684	0.637606571722069	0.3686697097364541	0.5266057884512861	0.26274760741881154	0.612040332830477	0.38019325490277217	0.40306148194319824	0.4486605759626567	0.6297213509657863	0.5119141698819604	0.48878845568001894	0.5617016364601063	0.3904616553292419	0.5534425934152543	0.4429967099827528	0.5543561613081802	0.48536883353181187	0.6173514919948443
I-KO-BAC	0.5856260651184029	0.5261368267579504	0.5211108284409993	0.5914193726383387	0.0	0.5642324902646849	0.5832118607338289	0.5814831814892847	0.548633512700578	0.19982151495987027	0.42954161848649663	0.41500486716654755	0.4753477272592382	0.2771304294223305	0.4429210379758312	0.4121466978596861	0.4394097047871827	0.41392950422838	0.38492155921526666	0.40806380014916266	0.36660561677196263	0.4495271647349571	0.40277357435426564	0.2377897211181985	0.4411956173468989	0.38383067613967575	0.5507223252589907	0.23362010997400706	0.42743969299398177	0.42462675966277125	0.4386938067315171	0.21906071086275689	0.47172304209861493	0.42672270887203473	0.454158179615082	0.47365830762847283	0.17980914488154895	0.421793567006951	0.4219585247626943	0.4794644487691949	0.2098277894851503
I-WT-1	0.11846556627900993	0.21159523400656627	0.34291716558026286	0.06872339827662549	0.5642324902646849	0.0	0.048865439876333086	0.18281214224545916	0.2690803417497327	0.5657784176264105	0.3657197860757828	0.39532756649402023	0.32916777622324017	0.5341040535245867	0.36942367387460257	0.39196350288846027	0.39973470245304876	0.3580483573435726	0.35565226122309035	0.4405212391517877	0.4535691708553841	0.41461668303770643	0.39043684483850255	0.6285148716847176	0.3504503202800351	0.48824998310757	0.24772659339483658	0.6026385103273515	0.3621335205393546	0.38533735090243065	0.4316802914717622	0.6151145605953389	0.48791368743380076	0.45413941824760357	0.5320039474758527	0.3610337222911517	0.5491131001472483	0.4047356998292958	0.524159801774412	0.4602343019173781	0.6080105464046558
I-WT-2	0.07348432798127745	0.18066646408776083	0.321914298748117	0.024907066951590298	0.5832118607338289	0.048865439876333086	0.0	0.16413297052883535	0.2571738878133282	0.5867069058441272	0.3738724629183792	0.3912884038267347	0.3184256788107984	0.5454623414998399	0.3739673650795424	0.3967968402515156	0.4046522332097983	0.36246912042380797	0.3907997437893804	0.46214995767934863	0.4770660342623218	0.407549019171876	0.41569125501104515	0.6387014391793338	0.3547685683424528	0.5168306908599274	0.24513511241456074	0.6132948641856981	0.36660787432142833	0.39009585728148294	0.43690350892200835	0.6319872143598049	0.5019068305555962	0.47820589090281357	0.5529015528928979	0.3771556895646627	0.5620134728445474	0.43109149977047795	0.5453806369710045	0.4747004301720981	0.6185719634850959
I-WT-3	0.13296075810197824	0.31008062245216583	0.4255815853123751	0.18344960753392528	0.5814831814892847	0.18281214224545916	0.16413297052883535	0.0	0.32734612857944856	0.5851474533004724	0.3259873400562787	0.34608927088296976	0.2614311203947093	0.5510975915541982	0.35861458470937135	0.38312831071159903	0.39157022899785476	0.34610409650160323	0.3767532702190441	0.45306757531868647	0.44389601140847473	0.36478284541743355	0.37411632125530137	0.6455393051466025	0.30384116901090913	0.48857163005118537	0.10842037999359845	0.6199183131987813	0.35057950410557764	0.37591803175917804	0.4261111461083603	0.6242307881255824	0.49359402810195024	0.4808314060931822	0.5480842221054102	0.3297832921043325	0.5664364470906549	0.3917206015216585	0.5497796090787463	0.46551110890054925	0.6252476719715219
I-WT-4	0.30194737588214776	0.2656970323890249	0.3147384550367754	0.2623223958451771	0.548633512700578	0.2690803417497327	0.2571738878133282	0.32734612857944856	0.0	0.5495655687874436	0.3574816220702878	0.37318591403835294	0.3081996392558555	0.515346981229454	0.37145357952247826	0.39144089574042473	0.374867714651408	0.3745477667956186	0.40317446047415145	0.44647848690841635	0.44470380839927875	0.3755598274942122	0.38126106402918786	0.5958869209492295	0.3455278711374462	0.4408171568310202	0.3201964805988596	0.5744079336227017	0.3684310486286228	0.396293635167857	0.4208322324515633	0.5734928997523576	0.4732270628394502	0.47471115564535926	0.5248631411693743	0.3841690847272316	0.5527767936065751	0.4101040108492622	0.5326564571694611	0.4649746254960013	0.5870214362506296
I-WT-BAC	0.5845097610984996	0.5230996631326974	0.5132465780340377	0.5899342788329321	0.19982151495987027	0.5657784176264105	0.5867069058441272	0.5851474533004724	0.5495655687874436	0.0	0.46251562923379086	0.44568504782333634	0.49403978357855327	0.34056267117004646	0.46874262201764555	0.45493310921073954	0.47935139251567666	0.45652662414536277	0.4250078039877591	0.4560525528498516	0.41574430540922164	0.4782271620787434	0.435611091722445	0.25435146140680814	0.4666528864904127	0.43787844486894634	0.5660119725434376	0.2602637810268292	0.4328260878004134	0.47986671201357145	0.4542726613131346	0.24559155087545628	0.49375684336387204	0.45031576950996527	0.497456715725113	0.4891659510142465	0.2210062215921384	0.44681306684588923	0.4585791377465845	0.5014539004980807	0.2242461630720892
