	I-KO-1	I-KO-2	I-KO-3	I-KO-4	I-KO-BAC	I-WT-1	I-WT-2	I-WT-3	I-WT-4	I-WT-BAC	II-KO-1	II-KO-2	II-KO-3	II-KO-BAC	II-KO-IL17-1	II-KO-IL17-2	II-KO-IL17-3	II-KO-IL17-4	II-KO-IL17-5	II-KO-IL17-6	II-WT-1	II-WT-2	II-WT-3	II-WT-BAC	IIIA-KO-1	IIIA-KO-2	IIIA-KO-3	IIIA-KO-BAC	IIIA-WT-1	IIIA-WT-2	IIIA-WT-3	IIIA-WT-BAC	IIIB-KO-1	IIIB-KO-2	IIIB-KO-3	IIIB-KO-4	IIIB-KO-BAC	IIIB-WT-1	IIIB-WT-2	IIIB-WT-3	IIIB-WT-BAC
I-KO-1	0.0	0.16670219316041146	0.4283437638119264	0.009721660956065747	0.7577581728257601	0.12118470346030702	0.3431771895143133	0.2491836341759956	0.4195517987005063	0.6428863573556332	0.492119962929511	0.4074077465964897	1.2179592800569208	0.6263187962900884	0.5354357037247695	0.6820408754479348	0.39752465404463544	0.591696716223962	0.466614966104704	0.5890706058512809	0.5826756561825231	0.4623146327358095	0.6441589534158716	0.7095860451536893	0.5193345275789506	0.605030087412417	0.517866075462429	0.6623471292281091	0.47613572899573586	0.5785037512583182	0.39414913818302677	0.5910559418214866	0.6255924257770267	0.5907353239930917	0.7755450706104171	0.5994553569096296	0.9981567953802227	0.5724650083239518	0.654556602124811	0.6240385305298115	0.6574483517786565
I-KO-2	0.16670219316041146	0.0	0.26648795251861235	0.1570683925702942	0.619105083100191	0.055792926705231886	0.18519041561781385	0.12864301445580814	0.2717149238308766	0.590113033086574	0.34486775417800414	0.5535948558293069	1.36667039817432	0.7508927406565116	0.3965447946908113	0.5429887660797639	0.5352201632513824	0.4536497252683455	0.5912301153545263	0.44978038220486016	0.7065680949026021	0.44708475186627916	0.4954116712211737	0.8330531959505802	0.3714388066199166	0.7371519881920358	0.36232481547968776	0.7862004299037699	0.3274185108946057	0.4378904737962329	0.39983913504707824	0.7145139603243089	0.6688361841203904	0.6908894788742388	0.8877521532466518	0.489022475169008	1.124124540449599	0.44895909098622944	0.7668135875988079	0.6432574367255537	0.7821276163429285
I-KO-3	0.4283437638119264	0.26648795251861235	0.0	0.41948505075672693	0.7082143200581321	0.3124410775725097	0.10794116314039531	0.3630620628747918	0.3066470526026863	0.759969446932209	0.5236103452687652	0.7486839397282304	1.5727208674239956	0.92129623538084	0.542943457859429	0.5202971032351604	0.7302819598223402	0.5815434172328057	0.7598734062310508	0.48208964458576137	0.8735725306716753	0.6423673692762599	0.4863958058255726	0.9994538186250219	0.35120396168286994	0.9316620853856856	0.27511371949617597	0.955887819764468	0.4501186876753668	0.36270076596661927	0.595041102600802	0.8816753085609761	0.816860825321365	0.8466517895501899	1.0338655887251824	0.6576317549670772	1.2947488560129505	0.6087631931085029	0.92000743365637	0.7933319163962049	0.9540063303943724
I-KO-4	0.009721660956065747	0.1570683925702942	0.41948505075672693	0.0	0.7508832647603751	0.11245716309100495	0.3345040843885163	0.2408982105682258	0.41200607482823337	0.6359382113002626	0.4847376148711541	0.4151374368191494	1.2256889702795803	0.6329807365458997	0.5285607956593844	0.6751659673825497	0.4041840076535662	0.584821808158577	0.4730940711362619	0.582195697785896	0.5891547612140812	0.45493228467745267	0.6367766053575148	0.7162479854095005	0.5119521795205938	0.6116894410213477	0.509556066571053	0.6690090694839204	0.46875338093737906	0.5711214031999614	0.3867667901246699	0.5976997369961295	0.6189670663143159	0.584109964530381	0.7815120244213469	0.5929393607817098	1.0047308752952533	0.565949012196032	0.6605235559357409	0.6174131710671007	0.6641102920344677
I-KO-BAC	0.7577581728257601	0.619105083100191	0.7082143200581321	0.7508832647603751	0.0	0.6589236461077992	0.6892440315804741	0.6565209391725595	0.6092595855547803	0.22334340622305368	0.5317852463616469	0.7060786386302911	1.5015962154029552	0.3811267365121902	0.47101989830229496	0.3638540711907031	0.664209730275741	0.3388718543256331	0.4856729040367995	0.4069110641735909	0.5456345092224677	0.5947218761652313	0.5045323745885382	0.502355388927203	0.5933601148384555	0.8391205938061436	0.663296563375443	0.4047421632124384	0.5019239830528373	0.523803457622939	0.5989769427835759	0.35479059010430314	0.4929774054769613	0.5160678994368986	0.6799691884280785	0.4883865784104534	0.8403068934566678	0.40313999416449964	0.5807371773398706	0.46769594489273264	0.4448158622343639
I-WT-1	0.12118470346030702	0.055792926705231886	0.3124410775725097	0.11245716309100495	0.6589236461077992	0.0	0.23068145473947643	0.13512347741115785	0.3062690312254119	0.5584296494328678	0.3829403063274892	0.5104388653401748	1.3228798006286384	0.7184780429648459	0.43289909078885336	0.5795042625120188	0.49112033777427777	0.48916010328804604	0.5521256480268104	0.48636803929725936	0.6730762502137644	0.4040218518813548	0.5348256150889728	0.8017393991118267	0.40969375474142855	0.6940777791410425	0.4031393902230628	0.7545004831862465	0.3664949561582138	0.473429938357543	0.3563791971520781	0.6831033813339051	0.6346330014364194	0.6566278679887307	0.8551029517538666	0.5018470539347919	1.0902920042571917	0.4747539258101871	0.7331437449983161	0.607946148789367	0.7496017057367941
I-WT-2	0.3431771895143133	0.18519041561781385	0.10794116314039531	0.3345040843885163	0.6892440315804741	0.23068145473947643	0.0	0.29978455976278107	0.32864228413376584	0.7432994341061165	0.5006782281564781	0.7283893749297278	1.5389409083901586	0.9029843750799983	0.5277788674175437	0.5052057682117572	0.7096390346938672	0.5637384874052621	0.7420060092051945	0.46626622653357824	0.8587876936025717	0.6218792709666998	0.4663960680643795	0.9862516239435992	0.3148954804347082	0.912558566842626	0.20888894081726359	0.9390127080180188	0.4263372511271225	0.3379647057561932	0.5748978940716675	0.8677215206113964	0.8089166516530653	0.8311236610790944	1.0281528540652038	0.6252637019091843	1.2748223741701326	0.5855777017549757	0.9071773028664589	0.7822297990060129	0.9341139305685663
I-WT-3	0.2491836341759956	0.12864301445580814	0.3630620628747918	0.2408982105682258	0.6565209391725595	0.13512347741115785	0.29978455976278107	0.0	0.3021620519533959	0.6033089257879245	0.2618517845782291	0.4648522822438234	1.30025356993864	0.7633456829987628	0.3959986800275749	0.5648475937661028	0.5128833600706196	0.4672487730656032	0.5746322477508529	0.4386024561756509	0.716616066564553	0.3907918090456389	0.5189646428882702	0.8466129318623637	0.31731910259713514	0.7135950675383654	0.31794392960683937	0.7993740159367835	0.308264796432323	0.4105362191391247	0.36739066839375184	0.7278579442854289	0.667737843322431	0.6873937853435864	0.8987353292865563	0.44411675082907076	1.1351655370077287	0.4205370518186241	0.7745497927030189	0.6331415867490047	0.7944752384873309
I-WT-4	0.4195517987005063	0.2717149238308766	0.3066470526026863	0.41200607482823337	0.6092595855547803	0.3062690312254119	0.32864228413376584	0.3021620519533959	0.0	0.6815347904306474	0.40863468837322314	0.6244862473957126	1.467957487048461	0.8350966632273426	0.4252573883533988	0.5213100097226404	0.5991174627862874	0.4851312599004624	0.6707863537311645	0.4199721008331676	0.7889623129898418	0.49908589059695796	0.43996787216671324	0.9142396313755864	0.3772912796678806	0.815700139914538	0.4131560283541724	0.8707386156486876	0.34844113422840933	0.43620739226205346	0.49200654979880537	0.7919249739848742	0.7433159083788803	0.7773407541084276	0.957669026702186	0.5778487012014512	1.2011942173735601	0.5325015437856843	0.8488694765084129	0.7166553985832347	0.8704668910338232
I-WT-BAC	0.6428863573556332	0.590113033086574	0.759969446932209	0.6359382113002626	0.22334340622305368	0.5584296494328678	0.7432994341061165	0.6033089257879245	0.6815347904306474	0.0	0.525621313808222	0.6203222344090646	1.3777288659286788	0.35709225872274664	0.5029044940774912	0.42758909888539975	0.5902058535874716	0.40325486559448126	0.3993491754360745	0.5051336563502163	0.4657078808541421	0.523488121236062	0.5956822839327974	0.4572994118955876	0.6236624628574841	0.7541386940769245	0.7183754904178465	0.38448445391154595	0.5292577609476303	0.578487953396564	0.4958678364366893	0.33376959822367624	0.4301485181140464	0.44688632798859995	0.5942893067428908	0.4387583115371636	0.780971094152467	0.36696055743416595	0.4777933219718006	0.40817074964220207	0.4116946931836968
II-KO-1	0.492119962929511	0.34486775417800414	0.5236103452687652	0.4847376148711541	0.5317852463616469	0.3829403063274892	0.5006782281564781	0.2618517845782291	0.40863468837322314	0.525621313808222	0.0	0.31235675180315914	1.1756581884776445	0.6776217534548377	0.19702036055377856	0.3689219509207362	0.3637028181983036	0.24775343219194124	0.4599151737419086	0.23573834723191522	0.5909300509874282	0.26649320114655445	0.2833803323651896	0.7673741945067878	0.24211983320058483	0.5824972843462124	0.3941456767160337	0.7185921669275264	0.17101618720622663	0.3324274343998025	0.26730442519642555	0.6360337594212566	0.616029695869555	0.6375677940741068	0.8008745264436385	0.42007479075669674	1.0144253289868563	0.3496273961061411	0.7055402751446039	0.5887041214216496	0.7306582366464531
II-KO-2	0.4074077465964897	0.5535948558293069	0.7486839397282304	0.4151374368191494	0.7060786386302911	0.5104388653401748	0.7283893749297278	0.4648522822438234	0.6244862473957126	0.6203222344090646	0.31235675180315914	0.0	1.0212608659350875	0.4862267921061212	0.33525588385049887	0.5679926539927738	0.1265432114902203	0.4494781042213873	0.35120788604149245	0.4323057810840263	0.37271286127489794	0.23119017483347232	0.4559565105522323	0.5508869454381065	0.49670138967910615	0.3471890614630361	0.6366699392632695	0.5314044892528575	0.3699890721820914	0.5677489766302497	0.27285786407067236	0.4544819714075992	0.6072256405341341	0.577751842349626	0.6107443305882616	0.5966041912251684	0.8000355322139621	0.542840947097273	0.5086971221521044	0.6109143081900076	0.5451923609636204
II-KO-3	1.2179592800569208	1.36667039817432	1.5727208674239956	1.2256889702795803	1.5015962154029552	1.3228798006286384	1.5389409083901586	1.30025356993864	1.467957487048461	1.3777288659286788	1.1756581884776445	1.0212608659350875	0.0	1.231748661020723	1.2947511711026118	1.4099152851178467	1.0986144544696266	1.301705358103011	1.188680357333414	1.356956459638317	1.1173243380018287	1.2316952988706185	1.3517724763974814	1.1410590091622896	1.334116999195838	0.9051033229594544	1.4404713599548864	1.2186810090805649	1.29101418566098	1.431842893396236	1.2063107924686913	1.2549289153912384	1.3666914872335942	1.3315167402230386	1.0800837409775643	1.380637159569204	0.7893994900218091	1.377740612948422	1.2098631435817633	1.3791731122456703	1.2237601884394826
II-KO-BAC	0.6263187962900884	0.7508927406565116	0.92129623538084	0.6329807365458997	0.3811267365121902	0.7184780429648459	0.9029843750799983	0.7633456829987628	0.8350966632273426	0.35709225872274664	0.6776217534548377	0.4862267921061212	1.231748661020723	0.0	0.640105466774862	0.5426084979055297	0.4977462464339625	0.5066981483032624	0.2988283840333174	0.6340459863003034	0.25913406374033054	0.6241112806875966	0.736006674980183	0.16658641102184318	0.7986961018382739	0.5797266196234504	0.8783301207724947	0.07113363202326424	0.6940123346862264	0.733726484671049	0.586803519409184	0.09651060541453255	0.4426550169711737	0.4040964324445606	0.4341652439617415	0.5939936564272614	0.517908564684083	0.5222260430443597	0.3311637678951181	0.4482344629876355	0.11990440410198945
