SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
I-KO-1	0.04675181	0.158169869	-0.331714842	0.101318166	0.051534748	-0.051223406	0.025331224	0.010105879	0.020106941	0.010607285	0.009658677	-0.003308852	0.000704746	-0.006890436	-0.00069878	0.003182802	-0.004267573	0.009741744
I-KO-2	0.249039093	0.116240244	-0.18477477	0.004930199	-0.012990616	0.000714941	-0.081179043	-0.040740888	-0.014394239	-0.060634508	0.015255827	-0.048357254	0.017791194	0.015341885	0.002409281	-0.000791993	0.001316998	0.000318021
I-KO-3	0.469920662	0.082469365	-0.113999098	-0.012324115	0.159449401	0.04487819	-0.014961322	0.048997042	-0.00373523	0.00174766	0.000735199	0.027015192	0.009324146	0.042531439	-0.019332069	0.021152222	-0.010369748	-0.001309972
I-KO-4	0.056478221	0.152616081	-0.326987181	0.09647041	0.041276348	-0.04955875	0.024240813	0.015586858	0.003350972	0.01597777	0.008613191	-0.004593244	0.008672602	0.006723362	0.005008646	-0.005671761	0.006392149	-0.010194029
I-WT-1	0.190222287	0.122287712	-0.226787107	0.034537828	-0.025520497	-0.002499108	-0.042773221	-0.023224601	-0.057028266	-0.03026329	-0.001083919	0.014684746	-0.019075166	-0.01357875	-0.015083856	-0.000812816	-0.003222542	0.000502013
I-WT-2	0.452554883	0.107423015	-0.136314523	-0.032360466	0.143193005	0.003305145	0.016309345	0.032678434	-0.022653738	-0.044590416	0.017853269	-0.0226753	-0.014982034	-0.019580531	0.019375428	-0.02195287	0.005761752	0.001616595
I-WT-3	0.208148802	0.157752282	-0.148892609	-0.061975989	-0.115678272	-0.022894341	-0.006184569	-0.07571505	0.024473755	-0.005883713	0.007171672	0.036385058	-0.012687386	0.004088517	0.021953639	0.004240313	-0.001742036	-0.000174526
I-WT-4	0.335458169	0.094035455	-0.064122538	0.0449619	-0.011844806	0.063637727	-0.172177296	0.017264402	0.066662789	0.113758017	-0.058385826	0.010227787	-0.002953297	-0.023019275	-0.001269975	0.001117601	0.003516793	-0.000203275
II-KO-1	0.068429945	0.136609789	0.128756228	-0.092745045	-0.123650514	-0.029799309	-0.053514094	-0.015234794	-0.004451636	-0.009386636	0.000342377	0.01969501	0.031264876	0.024043541	0.012088449	-0.004991956	0.003601372	0.001713901
II-KO-2	-0.199589546	0.153106304	0.053288636	0.117156801	-0.076514701	-0.042109562	0.061456236	0.036556553	0.109840263	-0.016539815	-0.001025415	0.045116852	-0.00793877	0.023127791	0.015134008	-0.005927129	-0.003477699	0.000450091
II-KO-3	-0.937841783	0.699890416	-0.016181401	-0.296614299	0.011986974	-0.032725088	-0.032921144	0.039417403	-0.020745762	0.004702864	-0.008242411	-0.002573372	7.40E-05	-0.004742751	-0.010503186	0.00153662	0.000861593	-0.000307735
II-KO-IL17-1	0.08328971	0.030026726	0.180877088	0.069604479	-0.095478892	-0.00276278	-0.057435678	0.006145283	0.023405769	-0.028602333	0.078595111	-0.031619725	-0.018085347	-0.007558545	-0.015779366	0.024190736	-0.004852721	-0.001703492
II-KO-IL17-2	0.111978822	-0.175287927	0.244744075	-0.053942487	0.167021369	-0.072374039	-0.039721855	0.023278989	-0.0330092	-0.014012409	-0.040066595	0.022646307	-0.000270334	-0.013196949	0.01576472	0.009668812	0.00116595	-0.001215484
II-KO-IL17-3	-0.165759558	0.10402709	0.066050867	0.206184157	-0.068959367	-0.03128013	0.034525156	0.070865032	0.026203611	0.011652657	0.03018226	-0.045953567	0.020017891	-0.018365469	-0.024896182	0.000545206	0.001353629	0.000121495
II-KO-IL17-4	0.037180372	-0.084415364	0.194565849	-0.013781963	0.018701429	-0.072776945	-0.115428992	-0.043567929	-0.043913224	-0.011039131	0.004931648	-0.02648332	0.012298285	0.007118042	-0.003777149	-0.010792645	-0.007740531	0.000236837
II-KO-IL17-5	-0.192970752	-0.135113784	0.041858376	0.073678491	0.068595358	-0.163741199	0.01975497	-0.071971756	-0.020266629	0.056966129	0.033884413	0.014532116	0.014923168	-0.017616443	0.008332992	0.009624428	0.001546577	0.001008667
II-KO-IL17-6	0.138374777	-0.038747347	0.215774565	-0.015350257	0.021509421	-0.024262379	-0.01297462	-0.01519527	0.04604831	0.038455174	0.043572497	0.006882629	-0.036006853	0.026457964	-0.025218364	-0.028381562	0.010614339	0.000970843
II-WT-1	-0.335239167	-0.123935157	0.068795752	0.1334699	0.14868041	-0.119516313	-0.02745939	-0.052824284	0.018115798	-0.052687911	-0.06171465	0.006177279	-0.018904456	0.003616521	-0.008022805	-0.000614043	0.003290595	-0.001268771
II-WT-2	-0.011149822	0.079530298	0.095010862	0.178563573	-0.175143218	0.020294377	0.009393849	0.015767156	-0.03968055	-0.029111734	0.004763344	0.04262799	-0.025259347	-0.016728477	0.017073958	0.005318428	0.000175438	-0.001759645
II-WT-3	0.162502199	0.066719422	0.282076428	0.061716062	0.023852372	0.057558346	-0.025203189	0.163271199	-0.030352042	-0.021544376	-0.0009928	-0.008533404	0.008485332	0.000987646	0.017741764	-0.004073135	0.000604428	0.001487668
IIIA-KO-1	0.249484483	0.123378763	0.129730045	-0.133556361	0.000344705	-0.008092288	0.076659501	0.036682119	0.013472673	0.023400574	-0.01586507	0.006094654	0.005803462	-0.006455521	0.011740264	0.00185061	-0.014808782	-5.14E-05
IIIA-KO-2	-0.410335814	0.177821613	0.074933951	0.177191739	0.078496635	0.15871371	0.033288327	-0.090062328	-0.035019133	0.024380009	0.011177833	-0.019064806	-0.012815887	0.006367923	0.016339209	0.001534249	-0.001709446	0.00016717
IIIA-KO-3	0.361919153	0.112260381	0.029231788	-0.159153479	0.026272349	0.024227683	0.143416147	0.014941857	-0.007244349	-0.00417899	0.010978608	0.010208778	-0.008953803	-0.021102758	-0.014894435	0.001010666	0.011157249	-0.0016827
IIIA-WT-1	0.131015873	0.074398622	0.115543679	0.012194198	-0.055637968	0.074134027	0.035782378	-0.057782538	0.028689872	-0.011735612	-0.080366064	-0.04762542	0.017112353	-0.00709191	-0.008340556	-0.002140463	0.002402184	-0.001150239
IIIA-WT-2	0.249474812	-0.028074518	0.158991799	-0.072889352	0.099569078	0.001427519	0.11370989	-0.070490808	-0.002621262	0.036619663	0.018619052	-0.004165879	0.003310609	0.002961909	-0.007655726	0.008687301	-0.002140394	0.00089468
IIIA-WT-3	-0.025213776	0.061991443	0.030553907	0.125536474	-0.094496175	0.05381027	0.074864618	-0.058596754	-0.093347333	0.01696413	-0.048799737	0.014822901	0.022521074	0.014983399	-0.01099154	-0.006073536	0.002465741	0.001510639
IIIB-KO-1	-0.162637044	-0.388968044	-0.118193641	-0.042103878	-0.080998012	0.002411383	-0.007879663	0.074138119	-0.046867347	0.002898689	-0.010097954	0.02051646	0.002673628	0.01249287	-0.007096617	0.015502042	0.026214786	0.002319168
IIIB-KO-2	-0.207694843	-0.368596089	-0.139722335	-0.029884061	-0.054021425	-0.057346778	0.05390869	0.062190161	-0.005055363	0.052985171	0.012081651	-0.056301608	0.016443156	0.012840466	0.023500561	-0.005636108	-0.005101162	-0.001484024
IIIB-KO-3	-0.531300355	-0.257427882	-0.05780383	-0.034655234	0.154165744	0.165468347	-0.04910408	-0.008435811	0.002267681	0.011108231	0.056338588	0.014625866	-0.004457936	0.000538064	0.011852917	-0.001037479	0.000958325	-0.0002463
